Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
104,0.982636,0.970920,0.969975,0.984479,0.993128,4.331275,4.331275,0.769609,0.979980,0.991438,0.995470,98.418276,
105,0.973216,0.955607,0.957018,0.975039,0.988601,4.388530,4.388530,0.744927,0.971736,0.987480,0.993361,96.043436,
106,0.973115,0.955291,0.956718,0.974932,0.988458,4.445491,4.445491,0.739076,0.969835,0.986373,0.992460,95.961227,
107,0.982958,0.971660,0.971322,0.983337,0.994075,4.498418,4.498418,0.765972,0.979302,0.991096,0.995268,98.661669,
108,0.975016,0.958668,0.960065,0.976500,0.989501,4.557664,4.557664,0.746558,0.972403,0.987745,0.993253,96.652315,
109,0.982035,0.970778,0.969586,0.983226,0.992837,4.619868,4.619868,0.764295,0.979441,0.991390,0.995610,98.652024,
110,0.973024,0.956122,0.957337,0.974443,0.988309,4.679507,4.679507,0.740971,0.971849,0.987423,0.993223,96.347997,
111,0.973730,0.955205,0.959232,0.974960,0.988721,4.738040,4.738040,0.735194,0.969493,0.986325,0.992752,96.475916,
112,0.983152,0.970659,0.970832,0.984777,0.994047,4.802537,4.802537,0.762591,0.979740,0.991606,0.995507,99.125232,
113,0.974927,0.957503,0.958879,0.975462,0.990703,4.869093,4.869093,0.740358,0.972400,0.987831,0.993501,97.039383,
114,0.974370,0.956227,0.957701,0.975306,0.990318,4.925560,4.925560,0.735157,0.970246,0.986781,0.992973,96.887336,
115,0.982747,0.970928,0.970433,0.983730,0.993763,4.998291,4.998291,0.760118,0.979732,0.991591,0.995523,99.278686,
116,0.974205,0.956787,0.956629,0.975658,0.990071,5.061808,5.061808,0.737425,0.971754,0.987437,0.993151,97.069539,
117,0.973645,0.957067,0.956805,0.974997,0.988986,5.111917,5.111917,0.731266,0.969374,0.986323,0.992401,96.886714,
118,0.982382,0.971201,0.969861,0.983483,0.993050,5.159176,5.159176,0.754348,0.978702,0.991130,0.995331,99.353582,
119,0.974633,0.957339,0.957164,0.975751,0.990455,5.200850,5.200850,0.733166,0.971364,0.987419,0.993119,97.326484,
120,0.973375,0.956042,0.955875,0.974963,0.989021,5.248152,5.248152,0.725871,0.968246,0.985718,0.992341,96.956015,
121,0.982616,0.970557,0.969667,0.983258,0.994170,5.299377,5.299377,0.752618,0.978723,0.990897,0.995158,99.552167,
122,0.973369,0.955332,0.957000,0.974368,0.988938,5.346491,5.346491,0.738170,0.971429,0.986865,0.992751,97.177991,
123,0.974491,0.956530,0.955645,0.976337,0.990683,5.390414,5.390414,0.737986,0.972408,0.987397,0.993010,97.524588,
124,0.974285,0.958585,0.956808,0.975238,0.989419,5.426930,5.426930,0.737792,0.971288,0.986703,0.992626,97.457953,
125,0.984921,0.975872,0.973467,0.986390,0.993777,5.471929,5.471929,0.766840,0.982361,0.992273,0.995939,100.000000,
126,0.975248,0.960287,0.957194,0.977045,0.989684,5.507323,5.507323,0.729752,0.971279,0.987049,0.992902,97.798776,
127,0.974698,0.960027,0.956704,0.975925,0.989511,5.537390,5.537390,0.722094,0.968655,0.985742,0.992259,97.590992,
128,0.981679,0.969643,0.968913,0.982722,0.992673,5.575187,5.575187,0.745701,0.978252,0.990632,0.995141,99.665390,
129,0.976186,0.961274,0.959157,0.976994,0.990722,5.608948,5.608948,0.736518,0.972358,0.987340,0.993125,98.166816,
130,0.975730,0.960777,0.958315,0.976837,0.990447,5.642654,5.642654,0.739045,0.973441,0.987887,0.993167,98.142257,
131,0.977431,0.963691,0.960095,0.977915,0.992084,5.676016,5.676016,0.735612,0.972638,0.987618,0.993235,98.541875,
132,0.985261,0.975071,0.973914,0.985777,0.995036,5.709713,5.709713,0.759346,0.982205,0.992200,0.995737,100.000000,
133,0.977128,0.963968,0.960959,0.977119,0.991014,5.736290,5.736290,0.725536,0.971315,0.987078,0.992876,98.484085,
134,0.976444,0.961382,0.961021,0.977845,0.989769,5.766568,5.766568,0.717903,0.969157,0.985862,0.992190,98.248984,
135,0.982378,0.969399,0.970124,0.983946,0.992940,5.789557,5.789557,0.738544,0.977673,0.990273,0.994804,100.000000,
136,0.974584,0.957188,0.957563,0.975661,0.989880,5.814015,5.814015,0.720665,0.969985,0.986207,0.992478,97.944098,
137,0.975063,0.957538,0.958639,0.976704,0.989659,5.843099,5.843099,0.724927,0.972605,0.987694,0.993042,98.208349,
138,0.976580,0.958962,0.959866,0.978168,0.991183,5.862692,5.862692,0.724794,0.972498,0.987671,0.993341,98.585547,
139,0.985183,0.974196,0.973509,0.986206,0.995027,5.884389,5.884389,0.750523,0.981888,0.992285,0.995973,100.000000,
140,0.977595,0.961289,0.962032,0.979115,0.991315,5.902194,5.902194,0.723614,0.973108,0.988274,0.994098,98.944196,
141,0.983522,0.970732,0.970216,0.985106,0.994378,5.921144,5.921144,0.736887,0.979618,0.991655,0.995573,100.000000,
142,0.975887,0.957607,0.959164,0.977558,0.990910,5.937120,5.937120,0.714211,0.971599,0.987633,0.993481,98.523012,
143,0.976419,0.958576,0.958854,0.977379,0.992216,5.953655,5.953655,0.716834,0.973088,0.988221,0.993849,98.722630,
144,0.975596,0.957448,0.959742,0.976865,0.990213,5.966231,5.966231,0.707758,0.969281,0.986326,0.992922,98.378269,
145,0.984080,0.972662,0.971832,0.985860,0.993848,5.975130,5.975130,0.737783,0.980531,0.991859,0.995782,100.000000,
146,0.976199,0.958178,0.960362,0.977285,0.991070,5.983809,5.983809,0.711358,0.971099,0.987224,0.992848,98.574322,
147,0.976438,0.958334,0.960135,0.977670,0.991310,5.988948,5.988948,0.711969,0.972458,0.987944,0.993735,98.741997,
148,0.975758,0.958813,0.959907,0.977054,0.990032,5.990494,5.990494,0.705228,0.969123,0.986293,0.992738,98.424268,
149,0.983827,0.972086,0.971400,0.985009,0.994308,5.993267,5.993267,0.735342,0.980336,0.991862,0.995841,100.000000,
150,0.976027,0.960031,0.958540,0.977206,0.990902,5.991279,5.994604,0.708134,0.970403,0.987083,0.993382,98.577594,
151,0.976644,0.959734,0.958796,0.978058,0.991673,5.987294,5.991279,0.709426,0.972035,0.988040,0.994068,98.812445,
